X,CH1,
Second,Volt,
-8.00900e-06,3.47e-02,
-8.00800e-06,4.22e-02,
-8.00700e-06,4.46e-02,
-8.00600e-06,4.22e-02,
-8.00500e-06,2.73e-02,
-8.00400e-06,9.92e-03,
-8.00300e-06,-9.92e-03,
-8.00200e-06,-2.48e-02,
-8.00100e-06,-3.72e-02,
-8.00000e-06,-3.22e-02,
-7.99900e-06,-2.73e-02,
-7.99800e-06,-1.98e-02,
-7.99700e-06,-1.74e-02,
-7.99600e-06,-1.74e-02,
-7.99500e-06,-3.22e-02,
-7.99400e-06,-4.96e-02,
-7.99300e-06,-6.44e-02,
-7.99200e-06,-7.93e-02,
-7.99100e-06,-8.68e-02,
-7.99000e-06,-8.43e-02,
-7.98900e-06,-7.44e-02,
-7.98800e-06,-7.44e-02,
-7.98700e-06,-7.19e-02,
-7.98600e-06,-7.44e-02,
-7.98500e-06,-8.43e-02,
-7.98400e-06,-9.92e-02,
-7.98300e-06,-1.09e-01,
-7.98200e-06,-1.22e-01,
-7.98100e-06,-1.24e-01,
-7.98000e-06,-1.19e-01,
-7.97900e-06,-1.12e-01,
-7.97800e-06,-1.09e-01,
-7.97700e-06,-1.07e-01,
-7.97600e-06,-1.09e-01,
-7.97500e-06,-1.24e-01,
-7.97400e-06,-1.34e-01,
-7.97300e-06,-1.39e-01,
-7.97200e-06,-1.41e-01,
-7.97100e-06,-1.36e-01,
-7.97000e-06,-1.24e-01,
-7.96900e-06,-1.14e-01,
-7.96800e-06,-1.12e-01,
-7.96700e-06,-1.07e-01,
-7.96600e-06,-1.09e-01,
-7.96500e-06,-1.17e-01,
-7.96400e-06,-1.22e-01,
-7.96300e-06,-1.19e-01,
-7.96200e-06,-1.12e-01,
-7.96100e-06,-1.04e-01,
-7.96000e-06,-8.68e-02,
-7.95900e-06,-7.68e-02,
-7.95800e-06,-6.69e-02,
-7.95700e-06,-6.69e-02,
-7.95600e-06,-6.94e-02,
-7.95500e-06,-7.68e-02,
-7.95400e-06,-7.93e-02,
-7.95300e-06,-7.68e-02,
-7.95200e-06,-6.69e-02,
-7.95100e-06,-5.46e-02,
-7.95000e-06,-3.47e-02,
-7.94900e-06,-2.48e-02,
-7.94800e-06,-1.98e-02,
-7.94700e-06,-1.74e-02,
-7.94600e-06,-2.23e-02,
-7.94500e-06,-3.22e-02,
-7.94400e-06,-3.97e-02,
-7.94300e-06,-3.72e-02,
-7.94200e-06,-2.98e-02,
-7.94100e-06,-1.74e-02,
-7.94000e-06,2.48e-03,
-7.93900e-06,1.24e-02,
-7.93800e-06,1.49e-02,
-7.93700e-06,1.24e-02,
-7.93600e-06,9.92e-03,
-7.93500e-06,2.48e-03,
-7.93400e-06,0.00e+00,
-7.93300e-06,0.00e+00,
-7.93200e-06,4.96e-03,
-7.93100e-06,1.49e-02,
-7.93000e-06,3.22e-02,
-7.92900e-06,4.22e-02,
-7.92800e-06,4.71e-02,
-7.92700e-06,4.22e-02,
-7.92600e-06,3.72e-02,
-7.92500e-06,2.98e-02,
-7.92400e-06,2.48e-02,
-7.92300e-06,2.23e-02,
-7.92200e-06,3.22e-02,
-7.92100e-06,3.47e-02,
-7.92000e-06,4.22e-02,
-7.91900e-06,4.46e-02,
-7.91800e-06,4.22e-02,
-7.91700e-06,3.47e-02,
-7.91600e-06,2.98e-02,
-7.91500e-06,1.74e-02,
-7.91400e-06,1.24e-02,
-7.91300e-06,7.44e-03,
-7.91200e-06,9.92e-03,
-7.91100e-06,9.92e-03,
-7.91000e-06,1.49e-02,
-7.90900e-06,9.92e-03,
-7.90800e-06,2.48e-03,
-7.90700e-06,-7.44e-03,
-7.90600e-06,-9.92e-03,
-7.90500e-06,-1.49e-02,
-7.90400e-06,-1.74e-02,
-7.90300e-06,-2.23e-02,
-7.90200e-06,-2.48e-02,
-7.90100e-06,-2.98e-02,
-7.90000e-06,-3.22e-02,
-7.89900e-06,-4.22e-02,
-7.89800e-06,-4.96e-02,
-7.89700e-06,-5.70e-02,
-7.89600e-06,-6.20e-02,
-7.89500e-06,-6.69e-02,
-7.89400e-06,-6.94e-02,
-7.89300e-06,-6.69e-02,
-7.89200e-06,-7.19e-02,
-7.89100e-06,-7.93e-02,
-7.89000e-06,-8.92e-02,
-7.88900e-06,-1.02e-01,
-7.88800e-06,-1.17e-01,
-7.88700e-06,-1.26e-01,
-7.88600e-06,-1.29e-01,
-7.88500e-06,-1.29e-01,
-7.88400e-06,-1.24e-01,
-7.88300e-06,-1.19e-01,
-7.88200e-06,-1.14e-01,
-7.88100e-06,-1.19e-01,
-7.88000e-06,-1.29e-01,
-7.87900e-06,-1.39e-01,
-7.87800e-06,-1.51e-01,
-7.87700e-06,-1.59e-01,
-7.87600e-06,-1.61e-01,
-7.87500e-06,-1.54e-01,
-7.87400e-06,-1.44e-01,
-7.87300e-06,-1.34e-01,
-7.87200e-06,-1.26e-01,
-7.87100e-06,-1.26e-01,
-7.87000e-06,-1.34e-01,
-7.86900e-06,-1.46e-01,
-7.86800e-06,-1.61e-01,
-7.86700e-06,-1.66e-01,
-7.86600e-06,-1.64e-01,
